City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Castro,BR,-24.7911,-50.0119,62.06,95,100,13.85,moderate rain
173,San Francisco,US,37.7749,-122.4194,72.37,87,20,17.27,few clouds
174,Lisala,CD,2.15,21.5167,68.77,100,100,2.06,overcast clouds
175,La Palma,US,33.8464,-118.0467,81.93,51,20,6.91,few clouds
176,Taoudenni,ML,22.6783,-3.9836,79.39,18,6,14.16,clear sky
177,Bundaberg,AU,-24.85,152.35,81.21,76,34,5.01,scattered clouds
178,Geraldton,AU,-28.7667,114.6,69.22,63,49,11.65,scattered clouds
179,Palana,RU,59.1167,159.9667,27.07,83,100,4.56,light snow
180,Pergamino,AR,-33.89,-60.5736,60.19,62,82,6.76,broken clouds
181,Villa Carlos Paz,AR,-31.4241,-64.4978,62.38,72,0,1.99,clear sky
182,Labuhan,ID,-6.8844,112.2051,84.76,70,100,5.46,light rain
183,Balabac,PH,7.9868,117.0645,85.08,68,99,6.49,overcast clouds
184,Pangnirtung,CA,66.1451,-65.7125,29.25,83,100,10.54,light snow
185,Meulaboh,ID,4.1363,96.1285,74.71,95,100,8.37,light rain
186,Kajaani,FI,64.2273,27.7285,33.85,93,0,4.61,light snow
187,Lata,PT,40.1629,-8.3327,62.82,96,100,4.74,overcast clouds
188,Nueve De Julio,AR,-35.4444,-60.8831,65.97,50,1,8.01,clear sky
189,Namibe,AO,-15.1961,12.1522,65.14,87,41,5.03,scattered clouds
190,Naifaru,MV,5.4444,73.3657,81.39,78,64,13.78,broken clouds
191,Mandalgovi,MN,45.7625,106.2708,34.38,66,100,11.1,overcast clouds
192,Grand Forks,US,47.9417,-97.4337,58.93,41,75,14.97,broken clouds
193,Prince Rupert,CA,54.3161,-130.3201,47.89,88,100,5.75,moderate rain
194,Tautira,PF,-17.7333,-149.15,77.23,80,58,18.12,light rain
195,Merauke,ID,-8.4667,140.3333,84.83,72,50,8.66,scattered clouds
196,Hasaki,JP,35.7333,140.8333,70.2,53,0,13.35,clear sky
197,Smolenka,RU,52.1352,113.4974,36.95,55,20,0.0,few clouds
198,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,4.14,light rain
199,Whitehorse,CA,60.7161,-135.0538,43.57,52,75,11.5,broken clouds
200,Astoria,US,46.1879,-123.8313,54.86,95,0,4.61,clear sky
201,Olafsvik,IS,64.8945,-23.7142,39.88,79,87,21.36,overcast clouds
202,Elmira,US,42.0898,-76.8077,46.72,36,100,9.22,overcast clouds
203,Salinopolis,BR,-0.6136,-47.3561,79.32,80,13,8.63,few clouds
204,Tawang,IN,27.5833,91.8667,55.08,38,3,4.27,clear sky
205,Kaeo,NZ,-35.1,173.7833,68.32,64,73,7.07,broken clouds
206,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.76,85,76,27.34,broken clouds
207,Tazovskiy,RU,67.4667,78.7,33.64,97,100,14.29,overcast clouds
208,Camacha,PT,33.0833,-16.3333,67.42,88,20,3.44,few clouds
209,Natal,BR,-5.795,-35.2094,77.22,73,40,11.5,scattered clouds
210,Bahia De Caraquez,EC,-0.6,-80.4167,71.78,83,93,9.93,overcast clouds
211,Arraial Do Cabo,BR,-22.9661,-42.0278,72.75,87,3,30.98,clear sky
212,Savannah Bight,HN,16.45,-85.85,80.8,76,60,4.16,moderate rain
213,Stuttgart,DE,48.7823,9.177,59.77,73,40,1.14,shower rain
214,Port Keats,AU,-14.25,129.55,93.06,51,29,10.51,scattered clouds
215,Makurdi,NG,7.7411,8.5121,73.69,96,100,3.98,overcast clouds
216,Escanaba,US,45.7453,-87.0646,47.95,77,0,15.99,clear sky
217,Saint-Augustin,CA,51.226,-58.6502,45.55,92,1,10.96,clear sky
218,Ossora,RU,59.2353,163.0719,32.49,55,99,4.36,overcast clouds
219,Kazerun,IR,29.6195,51.6541,68.47,26,0,4.18,clear sky
220,Isangel,VU,-19.55,169.2667,82.51,74,75,6.91,broken clouds
221,Imbituba,BR,-28.24,-48.6703,68.36,94,100,9.91,light rain
222,Andros Town,BS,24.7,-77.7667,77.16,78,29,10.76,scattered clouds
223,Birao,CF,10.2849,22.7882,73.02,73,85,1.3,overcast clouds
